,Unnamed: 0,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10,output1,output2,output5,output3,output
0,ODIs,44,6,132,130,6,3/26,3/26,21.66,5.90,22.0,0,0,0,0,0,5,5,5
1,ODIs,84,83,3960,3581,93,6/52,6/52,38.50,5.42,42.5,2,1,0,0,0,5,5,5
2,ODIs,35,13,326,355,10,2/22,2/22,35.50,6.53,32.6,0,0,0,0,0,5,5,5
3,ODIs,11,11,591,517,16,5/44,5/44,32.31,5.24,36.9,0,1,0,0,0,5,5,5
4,ODIs,188,136,4132,3561,76,3/4,3/4,46.85,5.17,54.3,0,0,0,0,0,5,5,5
5,ODIs,207,134,5091,4127,89,3/12,3/12,46.37,4.86,57.2,0,0,0,0,0,5,5,5
6,ODIs,13,13,687,508,23,3/34,3/34,22.08,4.43,29.8,0,0,0,0,0,5,5,5
7,ODIs,32,3,30,37,0,0,0,0,7.40,0,0,0,0,1,0,0,0,1
8,ODIs,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,ODIs,47,19,507,515,12,4/43,4/43,42.91,6.09,42.2,1,0,0,0,0,5,5,5
10,ODIs,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,ODIs,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,ODIs,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13,ODIs,5,5,210,161,4,2/30,2/30,40.25,4.60,52.5,0,0,0,0,0,5,5,5
14,ODIs,71,67,3558,2467,133,7/18,7/18,18.54,4.16,26.7,4,4,0,0,0,5,5,5
15,ODIs,7,7,367,312,7,3/25,3/25,44.57,5.10,52.4,0,0,0,0,0,5,5,5
16,ODIs,164,155,5828,5668,172,6/44,6/44,32.95,5.83,33.8,5,4,0,0,0,5,5,5
17,ODIs,7,7,210,149,4,2/31,2/31,37.25,4.25,52.5,0,0,0,0,0,5,5,5
18,ODIs,80,78,3733,3563,115,4/34,4/34,30.98,5.72,32.4,6,0,0,0,0,5,5,5
19,ODIs,117,114,5760,4761,188,5/21,5/21,25.32,4.95,30.6,7,2,0,0,0,5,5,5
20,ODIs,9,9,377,409,8,2/37,2/37,51.12,6.50,47.1,0,0,0,0,0,5,5,5
21,ODIs,18,1,5,9,0,0,0,0,10.80,0,0,0,0,1,0,0,0,1
22,ODIs,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23,ODIs,9,9,423,377,10,4/18,4/18,37.70,5.34,42.3,1,0,0,0,0,5,5,5
